------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 41129
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 186.0-187.0 sec  3.39 MBytes  28.4 Mbits/sec   0.853 ms    1/ 2416 (0.041%)
[  3] 187.0-188.0 sec  4.49 MBytes  37.7 Mbits/sec   0.340 ms    1/ 3207 (0.031%)
[  3] 188.0-189.0 sec  3.36 MBytes  28.2 Mbits/sec   0.550 ms    0/ 2395 (0%)
[  3] 189.0-190.0 sec  4.21 MBytes  35.3 Mbits/sec   1.397 ms    2/ 3004 (0.067%)
[  3] 190.0-191.0 sec  3.93 MBytes  33.0 Mbits/sec   0.383 ms    1/ 2807 (0.036%)
[  3] 191.0-192.0 sec  2.99 MBytes  25.1 Mbits/sec   2.241 ms    0/ 2131 (0%)
[  3] 192.0-193.0 sec  3.93 MBytes  32.9 Mbits/sec   3.423 ms    1/ 2801 (0.036%)
[  3] 193.0-194.0 sec  2.76 MBytes  23.2 Mbits/sec   2.304 ms    1/ 1970 (0.051%)
[  3] 194.0-195.0 sec  2.68 MBytes  22.5 Mbits/sec   0.272 ms    1/ 1914 (0.052%)
[  3] 195.0-196.0 sec  3.37 MBytes  28.3 Mbits/sec   0.595 ms    1/ 2406 (0.042%)
[  3] 196.0-197.0 sec  3.68 MBytes  30.8 Mbits/sec   0.652 ms    2/ 2624 (0.076%)
[  3] 197.0-198.0 sec  3.53 MBytes  29.6 Mbits/sec   0.547 ms    0/ 2518 (0%)
[  3] 198.0-199.0 sec  3.33 MBytes  28.0 Mbits/sec   4.068 ms    1/ 2378 (0.042%)
[  3] 199.0-200.0 sec  4.28 MBytes  35.9 Mbits/sec   3.003 ms    1/ 3057 (0.033%)
[  3] 200.0-201.0 sec  3.94 MBytes  33.1 Mbits/sec   2.674 ms    0/ 2813 (0%)
[  3] 201.0-202.0 sec  1.97 MBytes  16.5 Mbits/sec   1.338 ms    2/ 1405 (0.14%)
[  3] 202.0-203.0 sec  3.05 MBytes  25.6 Mbits/sec   0.682 ms    1/ 2178 (0.046%)
[  3] 203.0-204.0 sec  3.57 MBytes  30.0 Mbits/sec   0.168 ms    1/ 2550 (0.039%)
[  3] 204.0-205.0 sec  3.69 MBytes  30.9 Mbits/sec   1.721 ms    0/ 2630 (0%)
[  3] 205.0-206.0 sec  3.10 MBytes  26.0 Mbits/sec   1.971 ms    1/ 2211 (0.045%)
[  3] 206.0-207.0 sec  3.13 MBytes  26.3 Mbits/sec   1.674 ms    0/ 2235 (0%)
[  3] 207.0-208.0 sec  3.18 MBytes  26.7 Mbits/sec   2.064 ms    0/ 2270 (0%)
[  3] 208.0-209.0 sec  3.09 MBytes  25.9 Mbits/sec   1.559 ms    1/ 2206 (0.045%)
[  3] 209.0-210.0 sec  3.38 MBytes  28.3 Mbits/sec   0.587 ms    1/ 2409 (0.042%)
[  3] 210.0-211.0 sec  3.47 MBytes  29.1 Mbits/sec   3.431 ms    0/ 2473 (0%)
[  3] 211.0-212.0 sec  2.70 MBytes  22.6 Mbits/sec   2.359 ms    2/ 1926 (0.1%)
[  3] 212.0-213.0 sec  3.23 MBytes  27.1 Mbits/sec   5.946 ms    0/ 2306 (0%)
[  3] 213.0-214.0 sec  3.21 MBytes  26.9 Mbits/sec   0.877 ms    1/ 2289 (0.044%)
[  3] 214.0-215.0 sec  2.77 MBytes  23.2 Mbits/sec   1.561 ms    0/ 1973 (0%)
[  3] 215.0-216.0 sec  2.81 MBytes  23.6 Mbits/sec   0.511 ms    0/ 2003 (0%)
[  3] 216.0-217.0 sec  4.06 MBytes  34.1 Mbits/sec   0.995 ms    0/ 2898 (0%)
[  3] 217.0-218.0 sec  4.01 MBytes  33.6 Mbits/sec   0.879 ms    1/ 2860 (0.035%)
[  3] 218.0-219.0 sec  3.05 MBytes  25.6 Mbits/sec   1.776 ms    0/ 2176 (0%)
[  3] 219.0-220.0 sec  4.39 MBytes  36.8 Mbits/sec   0.740 ms    0/ 3132 (0%)
[  3] 220.0-221.0 sec  2.58 MBytes  21.6 Mbits/sec   1.213 ms    1/ 1839 (0.054%)
[  3] 221.0-222.0 sec  2.72 MBytes  22.8 Mbits/sec   0.241 ms    1/ 1942 (0.051%)
[  3] 222.0-223.0 sec  3.45 MBytes  29.0 Mbits/sec   1.961 ms    0/ 2464 (0%)
[  3] 223.0-224.0 sec  3.40 MBytes  28.5 Mbits/sec   0.171 ms    2/ 2429 (0.082%)
[  3] 224.0-225.0 sec  3.78 MBytes  31.7 Mbits/sec   2.942 ms    0/ 2698 (0%)
[  3] 225.0-226.0 sec  2.53 MBytes  21.3 Mbits/sec   1.240 ms    2/ 1809 (0.11%)
[  3] 226.0-227.0 sec  2.90 MBytes  24.3 Mbits/sec   0.582 ms    1/ 2070 (0.048%)
[  3] 227.0-228.0 sec  2.80 MBytes  23.5 Mbits/sec   1.249 ms    1/ 1997 (0.05%)
[  3] 228.0-229.0 sec  3.83 MBytes  32.1 Mbits/sec   1.201 ms    1/ 2730 (0.037%)
[  3] 229.0-230.0 sec  3.46 MBytes  29.0 Mbits/sec   0.222 ms    2/ 2469 (0.081%)
[  3] 230.0-231.0 sec  3.99 MBytes  33.5 Mbits/sec   0.517 ms    2/ 2848 (0.07%)
